GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IspwFinale Maven Webapp,laptop.database,ContrassegnoDao,28,124,0,4,8,41,0,8,0,6
IspwFinale Maven Webapp,laptop.database,RivistaDao,200,1024,7,27,56,235,5,34,1,21
IspwFinale Maven Webapp,laptop.database,PagamentoDao,28,188,1,5,8,54,1,9,0,7
IspwFinale Maven Webapp,laptop.database,NegozioDao,48,154,6,4,14,46,4,8,0,7
IspwFinale Maven Webapp,laptop.database,GiornaleDao,136,961,1,27,39,222,1,34,0,21
IspwFinale Maven Webapp,laptop.database,UsersDao,291,688,9,15,85,208,11,25,4,20
IspwFinale Maven Webapp,laptop.database,CartaCreditoDao,21,182,0,4,6,50,0,8,0,6
IspwFinale Maven Webapp,laptop.database,LibroDao,185,1035,3,23,55,219,4,30,2,19
IspwFinale Maven Webapp,laptop.model,CartaDiCredito,22,118,0,0,11,38,6,17,6,17
IspwFinale Maven Webapp,laptop.model,Fattura,18,62,0,0,3,26,2,13,2,13
IspwFinale Maven Webapp,laptop.model,Negozio,8,50,0,0,1,20,1,10,1,10
IspwFinale Maven Webapp,laptop.model,User.Ruoli,0,27,0,0,0,5,0,1,0,1
IspwFinale Maven Webapp,laptop.model,User,10,110,0,10,1,43,1,25,1,17
IspwFinale Maven Webapp,laptop.model,TempUser,15,105,1,9,3,41,2,24,1,17
IspwFinale Maven Webapp,laptop.model,Pagamento,23,90,0,0,4,37,3,15,3,15
IspwFinale Maven Webapp,laptop.model,TempUser.Ruoli,0,27,0,0,0,5,0,1,0,1
IspwFinale Maven Webapp,laptop.model.raccolta,Factory,40,258,1,15,7,41,6,14,5,6
IspwFinale Maven Webapp,laptop.model.raccolta,MatchParam,0,70,0,0,0,18,0,3,0,3
IspwFinale Maven Webapp,laptop.model.raccolta,Giornale,0,178,0,0,0,61,0,24,0,24
IspwFinale Maven Webapp,laptop.model.raccolta,CategorieRivista,0,87,0,0,0,5,0,1,0,1
IspwFinale Maven Webapp,laptop.model.raccolta,Libro,105,561,20,30,42,167,22,55,2,36
IspwFinale Maven Webapp,laptop.model.raccolta,CategorieLibro,0,183,0,0,0,10,0,1,0,1
IspwFinale Maven Webapp,laptop.model.raccolta,Rivista,3,277,1,14,1,98,1,41,0,28
IspwFinale Maven Webapp,web.servlet,IndexServlet,23,0,4,0,7,0,4,0,2,0
IspwFinale Maven Webapp,laptop.exception,IdException,4,0,0,0,2,0,1,0,1,0
IspwFinale Maven Webapp,laptop.exception,LogoutException,0,4,0,0,0,2,0,1,0,1
IspwFinale Maven Webapp,laptop.controller,ControllerGestionePage,27,90,7,5,8,21,5,7,1,5
IspwFinale Maven Webapp,laptop.controller,ControllerRegistraUtente,11,123,11,11,3,27,11,6,0,6
IspwFinale Maven Webapp,laptop.controller,ControllerAcquista,152,307,7,17,30,74,14,16,10,8
IspwFinale Maven Webapp,laptop.controller,ControllerModifPage,0,251,0,0,0,52,0,7,0,7
IspwFinale Maven Webapp,laptop.controller,ControllerDownload,39,199,8,10,10,48,9,9,1,6
IspwFinale Maven Webapp,laptop.controller,ControllerAggiungiPage,6,199,4,4,2,41,4,4,0,4
IspwFinale Maven Webapp,laptop.controller,ControllerPassword,4,51,5,3,0,12,4,2,0,2
IspwFinale Maven Webapp,laptop.controller,ControllerReportPage,0,32,0,0,0,13,0,5,0,5
IspwFinale Maven Webapp,laptop.controller,ControllerPagamentoCash,0,197,0,6,0,43,0,5,0,2
IspwFinale Maven Webapp,laptop.controller,ControllerRicercaPerTipo,0,52,3,3,0,16,3,4,0,4
IspwFinale Maven Webapp,laptop.controller,ControllerVisualizzaProfilo,0,23,1,1,0,8,1,3,0,3
IspwFinale Maven Webapp,laptop.controller,ControllerHomePageAfterLoginSE,5,51,1,1,1,15,1,2,0,2
IspwFinale Maven Webapp,laptop.controller,ControllerReportRaccolta,0,9,0,0,0,3,0,3,0,3
IspwFinale Maven Webapp,laptop.controller,ControllerScegliNegozio,7,26,0,0,3,8,2,3,2,3
IspwFinale Maven Webapp,laptop.controller,ControllerLogin,4,59,2,2,1,16,2,3,0,3
IspwFinale Maven Webapp,laptop.controller,ControllerRicercaPage,3,55,0,6,1,14,1,5,1,2
IspwFinale Maven Webapp,laptop.controller,ControllerSystemState,14,63,1,1,5,27,4,17,3,17
IspwFinale Maven Webapp,laptop.controller,ControllerHomePageAfterLogin,0,54,0,2,0,16,0,3,0,2
IspwFinale Maven Webapp,laptop.controller,ControllerVisualizza,19,84,0,0,4,18,2,4,2,4
IspwFinale Maven Webapp,laptop.controller,ControllerVisualizzaOrdine,0,12,0,0,0,4,0,2,0,2
IspwFinale Maven Webapp,laptop.controller,ControllerModificaUtente,0,165,13,13,0,40,13,4,0,4
IspwFinale Maven Webapp,laptop.controller,ControllerCompravendita,90,103,18,0,27,25,14,8,5,8
IspwFinale Maven Webapp,laptop.controller,ControllerPagamentoCC,7,443,9,23,2,84,9,13,0,6
IspwFinale Maven Webapp,laptop.utilities,ConnToDb,27,128,1,1,8,39,1,4,0,4
IspwFinale Maven Webapp,laptop.utilities,PopulateDefaultDb,0,167,0,0,0,48,0,7,0,7
IspwFinale Maven Webapp,laptop.utilities,CreateDefaultDB,20,116,4,4,5,35,5,2,1,2
